Country,Month,UnitPrice
Australia,2010-12,138.26
Australia,2011-01,325.54
Australia,2011-02,273.63
Australia,2011-03,372.57
Australia,2011-04,396.55
Australia,2011-05,382.87
Australia,2011-06,380.18
Australia,2011-07,527.91
Australia,2011-08,242.98
Australia,2011-09,250.36
Australia,2011-10,396.06
Australia,2011-11,349.04
Austria,2010-12,65.12
Austria,2011-02,110.61
Austria,2011-03,142.86
Austria,2011-04,163.18
Austria,2011-05,223.57999999999998
Austria,2011-06,7.2
Austria,2011-07,195.54
Austria,2011-08,279.71
Austria,2011-10,187.15
Austria,2011-11,261.99
Austria,2011-12,64.58
Bahrain,2010-12,3.81
Bahrain,2011-01,3.81
Bahrain,2011-05,78.95
Belgium,2010-12,273.35
Belgium,2011-01,225.82999999999998
Belgium,2011-02,467.51
Belgium,2011-03,641.33
Belgium,2011-04,388.81
Belgium,2011-05,504.96
Belgium,2011-06,814.87
Belgium,2011-07,475.4
Belgium,2011-08,734.29
Belgium,2011-09,683.81
Belgium,2011-10,1069.83
Belgium,2011-11,986.1
Belgium,2011-12,274.04
Brazil,2011-04,142.6
Canada,2011-03,17.88
Canada,2011-05,1.06
Canada,2011-06,142.53
Canada,2011-07,716.7700000000001
Canada,2011-08,4.99
Channel Islands,2010-12,160.64
Channel Islands,2011-01,198.73
Channel Islands,2011-02,26.22
Channel Islands,2011-03,603.2
Channel Islands,2011-04,78.10000000000001
Channel Islands,2011-05,811.35
Channel Islands,2011-06,355.14
Channel Islands,2011-08,630.44
Channel Islands,2011-09,209.84
Channel Islands,2011-10,286.1
Channel Islands,2011-11,353.94
Channel Islands,2011-12,24.85
Cyprus,2010-12,198.68
Cyprus,2011-01,292.01
Cyprus,2011-02,1701.6399999999999
Cyprus,2011-03,121.19
Cyprus,2011-04,17.9
Cyprus,2011-06,231.0
Cyprus,2011-09,5.95
Cyprus,2011-10,1036.3600000000001
Cyprus,2011-11,245.99
Cyprus,2011-12,69.35
Czech Republic,2011-02,28.89
Czech Republic,2011-04,2.94
Czech Republic,2011-10,49.379999999999995
Czech Republic,2011-11,6.9399999999999995
Denmark,2010-12,92.97
Denmark,2011-02,63.93
Denmark,2011-03,122.21
Denmark,2011-05,50.66
Denmark,2011-06,314.48
Denmark,2011-07,43.32
Denmark,2011-08,87.74
Denmark,2011-09,169.02
Denmark,2011-10,126.16
Denmark,2011-11,161.26
Denmark,2011-12,35.2
EIRE,2010-12,1973.13
EIRE,2011-01,854.61
EIRE,2011-02,1643.37
EIRE,2011-03,9099.32
EIRE,2011-04,1228.85
EIRE,2011-05,2656.6
EIRE,2011-06,9980.05
EIRE,2011-07,2775.02
EIRE,2011-08,4097.89
EIRE,2011-09,4847.19
EIRE,2011-10,3467.56
EIRE,2011-11,4608.55
EIRE,2011-12,1215.05
European Community,2011-04,87.9
European Community,2011-06,113.2
European Community,2011-07,92.95
Finland,2010-12,49.6
Finland,2011-01,96.65
Finland,2011-02,54.47
Finland,2011-03,1022.74
Finland,2011-04,269.16
Finland,2011-06,71.13
Finland,2011-07,353.14
Finland,2011-08,288.79
Finland,2011-09,223.68
Finland,2011-10,597.26
Finland,2011-11,606.38
Finland,2011-12,153.85
France,2010-12,1557.36
France,2011-01,2353.99
France,2011-02,1284.84
France,2011-03,1735.02
France,2011-04,3197.27
France,2011-05,2605.62
France,2011-06,1990.25
France,2011-07,1623.51
France,2011-08,1818.1299999999999
France,2011-09,3393.72
France,2011-10,15356.95
France,2011-11,4988.08
France,2011-12,1127.25
Germany,2010-12,2181.67
Germany,2011-01,2707.16
Germany,2011-02,1429.97
Germany,2011-03,2186.09
Germany,2011-04,2083.36
Germany,2011-05,3079.12
Germany,2011-06,2033.55
Germany,2011-07,3264.33
Germany,2011-08,2749.0
Germany,2011-09,2582.97
Germany,2011-10,5762.75
Germany,2011-11,6194.66
Germany,2011-12,1411.3700000000001
Greece,2011-01,207.39
Greece,2011-03,35.69
Greece,2011-04,161.82
Greece,2011-07,145.03
Greece,2011-12,163.36
Hong Kong,2011-01,178.85999999999999
Hong Kong,2011-03,5167.52
Hong Kong,2011-04,113.41
Hong Kong,2011-05,217.96
Hong Kong,2011-06,59.44
Hong Kong,2011-08,414.75
Hong Kong,2011-09,5307.9
Hong Kong,2011-10,129.46
Hong Kong,2011-11,652.2
Iceland,2010-12,89.59
Iceland,2011-01,73.17
Iceland,2011-04,62.29
Iceland,2011-06,53.62
Iceland,2011-08,68.24000000000001
Iceland,2011-10,120.76
Iceland,2011-12,13.54
Israel,2010-12,8.06
Israel,2011-01,59.94
Israel,2011-02,46.8
Israel,2011-04,33.75
Israel,2011-07,64.61
Israel,2011-08,705.33
Israel,2011-09,72.85
Israel,2011-10,87.7
Italy,2010-12,215.5
Italy,2011-01,364.7
Italy,2011-02,58.0
Italy,2011-03,402.63
Italy,2011-04,43.62
Italy,2011-05,60.25
Italy,2011-06,116.62
Italy,2011-07,48.800000000000004
Italy,2011-08,454.15
Italy,2011-09,106.6
Italy,2011-10,732.61
Italy,2011-11,1211.46
Italy,2011-12,64.45
Japan,2010-12,123.5
Japan,2011-01,7.85
Japan,2011-02,161.19
Japan,2011-03,125.71
Japan,2011-04,111.17999999999999
Japan,2011-05,31.5
Japan,2011-06,4.8
Japan,2011-07,73.64
Japan,2011-08,20.79
Japan,2011-09,2.9699999999999998
Japan,2011-10,32.82
Japan,2011-11,99.23
